trial_id,timestamp,machine_name,gpu_info,gpu_memory,platform,model,trial,latency_s,completion_tokens,tokens_per_sec,unique,duplicate_reason,sample_output
google/gemma-3-1b_1_1759008615,2025-09-27T17:30:15.179768,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,1,10.325944185256958,413,39.99634247390837,False,semantic_similarity_0.924,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Welcome to Serenity Health. To help me find a time that works best for you, could you tell me what kind of reason you’re looking for this appointment?

User: Just a routine check-up, really. Nothing urgent.

Agent: Okay, a routine check-up. Let me just pull up your file and see what’s available.  It looks like we have openings on Tuesday afternoon, or Wednesday morning. Would either of those work for you?

User: Wedne"
google/gemma-3-1b_2_1759008631,2025-09-27T17:30:31.362915,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,2,12.072295904159546,512,42.411153939955106,False,semantic_similarity_0.940,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To get started, could you tell me your name and date of birth?

User: My name is Sarah Miller, and my birthday is July 12th, 1985.

Agent: Thank you, Sarah. And what type of appointment are you looking for today?  Are you here for a check-up, something else entirely, or perhaps a specific specialist?

User: I’d like to see my doctor for a routine check-up. Just a general check-up, nothing urgent.

Agent: Okay, a routine check-up. "
google/gemma-3-1b_3_1759008645,2025-09-27T17:30:45.411541,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,3,10.36222791671753,512,49.41022375834671,False,semantic_similarity_0.923,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To help me find a time that works for you, could you tell me what kind of appointment you need?

User: I need to see a dermatologist.

Agent: Okay, a dermatologist.  Do you have a preferred date or time in mind? We’re currently quite busy this afternoon.

User: Maybe next Tuesday morning?

Agent: Let me check availability for Tuesday morning... Okay, we have an opening at 9:00 AM. Would that work for you?

User: Yes, that would be"
google/gemma-3-1b_4_1759008658,2025-09-27T17:30:58.660192,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,4,9.990157842636108,492,49.24847112026968,False,semantic_similarity_0.909,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To help me find the right time for you, could you tell me what type of appointment you’re looking for?  Are you here for a check-up, a specialist consultation, something else?

User: It's a follow-up to my annual physical.

Agent: Okay, a follow-up visit. Let me just pull up your record.  One moment… Alright, I see you’re scheduled for an annual physical on the 15th of next month. Is that correct?

User: Yes, that's right.

Agent:"
phi-3-mini-4k-instruct_1_1759008781,2025-09-27T17:33:01.748873,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,1,122.0434832572937,0,0,False,error,
phi-3-mini-4k-instruct_2_1759008904,2025-09-27T17:35:04.853900,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,2,122.05471587181091,0,0,False,error,
phi-3-mini-4k-instruct_3_1759009027,2025-09-27T17:37:07.982354,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,3,122.05845403671265,0,0,False,error,
phi-3-mini-4k-instruct_4_1759009151,2025-09-27T17:39:11.050862,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,4,122.05298280715942,0,0,False,error,
microsoft/phi-4-mini-reasoning_1_1759009274,2025-09-27T17:41:14.124553,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,1,122.05626082420349,0,0,False,error,
microsoft/phi-4-mini-reasoning_2_1759009397,2025-09-27T17:43:17.195108,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,2,122.05189824104309,0,0,False,error,
